Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit,Antal karakterer
"Brøndagerskolen, Helhedstilbudet (Albertslund)",3.67446965,3.43652878947368,3.775,3.96124338095238,3.44238095,,
Brøndby Strand Skole - Dyringparken (Brøndby),3.53179987405542,3.58413187657432,3.54114452631579,3.73197520000001,3.14476675634518,,
Brøndbyvester Skole - Tornehøj (Brøndby),3.53663880587276,3.61761275081434,3.56647634747145,3.77092819935171,3.08801729950902,,
Brøndbyøster Skole (Brøndby),3.39462558531318,3.419870583878,3.52060737744035,3.67265566309013,2.90811074565218,6.70179548799999,875
Brønderslev Heldagsskole (Brønderslev),3.24589704545455,3.037037,3.48106059090909,3.61542209090909,2.78571431818182,,
Brønshøj Skole (København),3.56607380614204,3.61757824952017,3.60668585796545,3.90860981190019,2.99329045977012,7.29444581662869,878
"Brørupskolen, afdeling Skolegade (Vejen)",3.31798851538462,3.2912039034749,3.45673076923077,3.62620263984674,2.82728441312741,6.12962447122303,278
Buddinge Skole (Gladsaxe),3.57319530946292,3.60756489030613,3.61167945524297,3.90026794373402,3.04043312919897,7.17011345134818,853
Buerup Skole (Kalundborg),3.46080388461539,3.54743573076923,3.60576923076923,3.75982907692308,2.85164834615385,,
Bugtskolen (Greve),3.5963821,3.3874998,3.55,3.9375,3.3857141,,
Buskelundskolen (Silkeborg),3.56459771841155,3.60693644043321,3.63417569314079,3.89353577898551,3.00936906859206,7.88874799999998,678
Byhaveskolen (Svendborg),4.00105701960784,3.71549160784314,4.16503268627451,4.33104574509804,3.7327619,,
Bylderup Skole og Børnehus (Aabenraa),3.4463868,3.35168165714285,3.46428571428571,3.94513227619048,2.83052155238095,,
Bymarkskolen (Mariagerfjord),3.78407319496855,3.82092249375,3.7885416625,4.08772569375,3.29264880625,,
Byplanvejens Skole (Aalborg),3.60484995424837,3.63784001298701,3.74074073856209,3.98899522222222,2.92984748366013,7.19601110828025,471
Byskolen (Lolland),3.60343325247525,3.4798869359606,3.79394693034826,3.95887286206897,3.11304192537314,6.03922263040935,855
Byskovskolen (Ringsted),3.51373594972067,3.47471517514125,3.59586815320334,3.87076460893856,3.01533198873239,6.97539156707317,164
Båring Skole (Middelfart),3.64425545945946,3.65218781081081,3.58333332432432,4.01066067567568,3.15366791891892,,
Bække Skole (Vejen),3.53511103100775,3.37172686046512,3.76937984496124,3.84371233333333,3.13643406976744,6.73743343415639,486
Bækkegårdsskolen (Egedal),3.43337138888889,3.4884579055794,3.34294871367521,3.82960758547008,2.86842427038627,7.50115164369501,682
Børne og Unge Center Vejle Fjord (Vejle),3.4973195,3.58771479166667,3.71875,3.63736770833333,3.00123808,,
Børne- og familiehuset (Silkeborg),3.50442954545455,3.33195953846154,3.91666666666667,3.65138891666667,3.12294372727273,,
Børneby Midt (Norddjurs),3.52802461344538,3.37733037288136,3.70728290756303,3.89137655462185,3.08431012820513,,
Børneby Nord (Norddjurs),3.61192508280255,3.59751528025477,3.64118896178344,3.91186709493671,3.16340046794872,,
Campusskolen (Ringsted),3.39131773491379,3.4136912725322,3.47541576355748,3.74309220169852,2.81402802380954,6.84318145891563,1789
Centerklasserne (Faxe),3.48532028571429,3.52976171428571,3.64285714285714,3.73333325,2.98299314285714,,
Christiansfeld Skole (Kolding),3.56561100406504,3.55637813414634,3.78469387755102,3.89290855465587,2.98438402834008,6.50666491782729,718
Christianshavns Skole (København),3.52129879224377,3.55067781944445,3.48938134626039,3.91045010497238,2.94616142936288,7.50192236889331,1003
Christinelyst og Klinkby Skole (Lemvig),3.62465398076923,3.60718635989012,3.71978021978022,3.97952642307694,3.08356878571429,7.0284840807522,904
Dagbehandlingsskolen Fortuna (København),3.56399941176471,3.52502194444444,3.64215688235294,3.72870372222222,3.23015877777778,,
Dagbehandlingsskolen Fyrtårnet (København),3.26825480952381,3.34450104761905,3.46031747619048,3.50623585714286,2.76099771428571,,
Dagbehandlingstilbuddet Hjembækskolen (Holbæk),3.29215807692308,3.46703284615385,3.39743592307692,3.51623938461538,2.72710623076923,,
Dagmarskolen (Ringsted),3.86910146564885,3.91857490839694,3.73918575572519,4.10514661068703,3.55041803053435,6.24236736503069,326
Dagnæsskolen (Horsens),3.5381382287234,3.51771380748664,3.566932625,3.85856657446809,3.09209723670213,6.95445382443819,712
Dagskolen Bustrup Hovedgaard (Skive),2.94704433333333,2.83333333333333,3.125,3.01666666666667,2.88095233333333,,
Dagskolen Norddal (Gribskov),3.27873572727273,3.30032445454545,3.31060609090909,3.58181818181818,2.81818190909091,,
Dagskolen Ternen (Gribskov),3.69390592307692,3.64972523076923,4.01282053846154,3.90989007692308,3.25018323076923,,
Dagskolen VIKASKU (Frederiksberg),3.40346403225806,3.35042235483871,3.61559141935484,3.73588067741935,2.84516132258065,,
Dalby Skole (Kolding),3.78657015460526,3.79108564802633,3.92161716171617,4.10830861311476,3.2520037590759,7.5410711,20
Dalgasskolen (Ikast-Brande),3.77230107746479,3.66372669014084,3.87147887323944,4.07154595070423,3.40566734507043,,
Dalmose skole (Slagelse),3.67505283333333,3.61327019607843,3.69117647058824,3.99605119607843,3.27275908823529,5.85772517249418,429
Dalumskolen (Odense),3.57739294186047,3.58507164230769,3.7089793255814,3.8818844496124,3.0574935503876,7.31381612064342,746
"Damagerskolen, grundskole afd. (Greve)",3.37863940236686,3.40489488235294,3.55177514792899,3.54700620118343,3.01009409580838,6.58541463387978,549
Damhusengens Skole (København),3.68788465008292,3.73927114569538,3.71578366556291,4.03263610743802,3.11137260430465,7.81400954044118,544
Danehofskolen (Nyborg),3.56318359546926,3.60411711650486,3.73295454545455,3.81952149838188,3.05339035598705,6.98513307524272,824
Danmarksgades Skole Urban (Esbjerg),3.63606064878049,3.65307191707318,3.7638888872549,3.88447518137255,3.18463416097561,7.34693835164835,455
Dansborgskolen (Hvidovre),3.42085487172775,3.47422909424085,3.52770506282723,3.73857769736843,2.85001249343832,7.15115727828745,981
Darum Børneby (Esbjerg),3.65864206976744,3.50153176744186,3.75,4.07161311627907,3.1836101627907,,
Daugård Skole (Hedensted),3.59217693939394,3.61291478787879,3.60858584848485,3.82983406060606,3.22857133333333,,
Den Classenske Legatskole (København),3.56538075,3.62956769565218,3.67028985507246,3.93987878545455,2.90101297818182,8.01508009129815,701
Den Interne Skole (Slagelse),3.3399673,3.0473215,3.525,3.67152775,3.0869048,,
Den Specialpædagogiske Dagbehandlingsinstitution Sputnik 11 ApS (København),3.5815787826087,3.5665112173913,3.93840582608696,3.86859904347826,2.98902686956522,,
Den Specialpædagogiske Dagbehandlingsinstitution Sputnik 13 ApS (Hillerød),3.4688087,3.5044642,3.94166665,3.4675397,3.1767858,,
Den Specialpædagogiske Dagbehandlingsinstitution Sputnik 6 ApS (Gentofte),3.7563564,3.5363093,4.225,3.9580556,3.4523809,,
Den Specialpædagogiske Dagbehandlingsinstitution Sputnik 8 ApS (Rødovre),3.44471675,3.14206341666667,3.54545454545455,3.82083333333333,3.22817466666667,,
Den Specialpædagogiske Dagbehandlingsinstitution Sputnik SP 5 ApS (Greve),3.47136388888889,3.37103161111111,3.71078429411765,3.72962961111111,3.04986005882353,,
Distriktsskolen (Tønder),3.48937196875,3.43924701945525,3.56933594140625,3.86216725680934,2.9725073984375,6.44319935793358,542
Djurslandsskolen (Norddjurs),3.69044078873239,3.41932694366197,3.97300470422535,3.99548184285714,3.370842,,
Dragør Skole (Dragør),3.62199393357934,3.67201271586716,3.73093480811808,3.91782921851852,3.07924793357934,8.16696871324864,551
Dronninglund Skole (Brønderslev),3.62033538934426,3.60226165843621,3.66972788979592,3.98173631428572,3.09341330327869,6.95043769660459,913
Dueholmskolen (Morsø),3.53739799162011,3.51454611173186,3.62337057821229,3.91293795658263,2.97571362044819,6.94726562178523,1983
Durup Skole (Skive),3.3090123902439,3.340228125,3.19512195121951,3.66594075609756,2.84332173170732,,
